Weekly Massachusetts No. 2 Heating Oil Residential Price
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=W_EPD2F_PRS_SMA_DPG&f=W
14:34:19 GMT-0400 (EDT)
Source: U.S. Energy Information Administration
Week of,Weekly Massachusetts No. 2 Heating Oil Residential Price Dollars per Gallon
03/27/2017,2.659
03/20/2017,2.653
03/13/2017,2.676
03/6/2017,2.669
02/27/2017,2.681
02/20/2017,2.676
02/13/2017,2.663
02/6/2017,2.675
01/30/2017,2.678
01/23/2017,2.672
01/16/2017,2.677
01/9/2017,2.678
01/2/2017,2.673
12/26/2016,2.646
12/19/2016,2.608
12/12/2016,2.571
12/5/2016,2.533
11/28/2016,2.448
11/21/2016,2.418
11/14/2016,2.426
11/7/2016,2.421
10/31/2016,2.413
10/24/2016,2.423
10/17/2016,2.407
10/10/2016,2.394
10/3/2016,2.337
04/4/2016,
03/28/2016,2.155
03/21/2016,2.157
03/14/2016,2.14
03/7/2016,2.126
02/29/2016,2.115
02/22/2016,2.133
02/15/2016,2.116
02/8/2016,2.081
02/1/2016,2.083
01/25/2016,2.079
01/18/2016,2.099
01/11/2016,2.16
01/4/2016,2.184
12/28/2015,2.184
12/21/2015,2.205
12/14/2015,2.248
12/7/2015,2.345
11/30/2015,2.38
11/23/2015,2.369
11/16/2015,2.411
11/9/2015,2.435
11/2/2015,2.439
10/26/2015,2.425
10/19/2015,2.426
10/12/2015,2.433
10/5/2015,2.416
04/6/2015,
03/30/2015,2.903
03/23/2015,2.965
03/16/2015,3.078
03/9/2015,3.298
03/2/2015,3.397
02/23/2015,3.299
02/16/2015,3.121
02/9/2015,2.952
02/2/2015,2.823
01/26/2015,2.83
01/19/2015,2.84
01/12/2015,2.923
01/5/2015,2.973
12/29/2014,3.075
12/22/2014,3.11
12/15/2014,3.177
12/8/2014,3.224
12/1/2014,3.337
11/24/2014,3.362
11/17/2014,3.383
11/10/2014,3.396
11/3/2014,3.426
10/27/2014,3.457
10/20/2014,3.483
10/13/2014,3.537
03/24/2014,
03/17/2014,4.127
03/10/2014,4.179
03/3/2014,4.214
02/24/2014,4.225
02/17/2014,4.204
02/10/2014,4.21
02/3/2014,4.219
01/27/2014,4.202
01/20/2014,4.077
01/13/2014,4.043
01/6/2014,4.046
12/30/2013,4.061
12/23/2013,4.001
12/16/2013,3.971
12/9/2013,3.963
12/2/2013,3.897
11/25/2013,3.896
11/18/2013,3.822
11/11/2013,3.813
11/4/2013,3.813
10/28/2013,3.802
10/21/2013,3.829
10/14/2013,3.807
10/7/2013,3.791
03/25/2013,
03/18/2013,4.038
03/11/2013,4.075
03/4/2013,4.102
02/25/2013,4.159
02/18/2013,4.193
02/11/2013,4.174
02/4/2013,4.094
01/28/2013,4.058
01/21/2013,4.022
01/14/2013,4.02
01/7/2013,4.013
12/31/2012,3.991
12/24/2012,3.958
12/17/2012,3.937
12/10/2012,3.951
12/3/2012,3.974
11/26/2012,3.97
11/19/2012,3.953
11/12/2012,3.959
11/5/2012,3.984
10/29/2012,4.007
10/22/2012,4.034
10/15/2012,4.04
10/8/2012,3.988
10/1/2012,3.956
03/26/2012,
03/19/2012,4.202
03/12/2012,4.207
03/5/2012,4.215
02/27/2012,4.249
02/20/2012,4.142
02/13/2012,4.124
02/6/2012,4.075
01/30/2012,4.039
01/23/2012,4.015
01/16/2012,4.031
01/9/2012,3.998
01/2/2012,3.892
12/26/2011,3.88
12/19/2011,3.859
12/12/2011,3.916
12/5/2011,3.948
11/28/2011,3.941
11/21/2011,3.977
11/14/2011,3.985
11/7/2011,3.918
10/31/2011,3.885
10/24/2011,3.817
10/17/2011,3.782
10/10/2011,3.699
10/3/2011,3.733
03/21/2011,
03/14/2011,3.962
03/7/2011,3.962
