Weekly U.S. Days of Supply of Total Distillate
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=W_EPD0_VSD_NUS_DAYS&f=W
14:34:04 GMT-0400 (EDT)
Source: U.S. Energy Information Administration
Week of,Weekly U.S. Days of Supply of Total Distillate Number of Days
07/21/2017,35.4
07/14/2017,36.6
07/7/2017,37.5
06/30/2017,36.3
06/23/2017,38.7
06/16/2017,38.8
06/9/2017,38
06/2/2017,37.5
05/26/2017,35.1
05/19/2017,34.5
05/12/2017,36.1
05/5/2017,36.6
04/28/2017,35.9
04/21/2017,36.4
04/14/2017,34.6
04/7/2017,35.4
03/31/2017,36.4
03/24/2017,36.5
03/17/2017,38.1
03/10/2017,37.9
03/3/2017,40.3
02/24/2017,41.4
02/17/2017,41.6
02/10/2017,44.7
02/3/2017,44.2
01/27/2017,46.3
01/20/2017,49.3
01/13/2017,48.1
01/6/2017,46.9
12/30/2016,42.2
12/23/2016,37.3
12/16/2016,38.1
12/9/2016,39.7
12/2/2016,40.2
11/25/2016,38.7
11/18/2016,37.4
11/11/2016,37.2
11/4/2016,37
10/28/2016,37
10/21/2016,37.4
10/14/2016,39.2
10/7/2016,40.9
09/30/2016,44.8
09/23/2016,46
09/16/2016,46.4
09/9/2016,44.6
09/2/2016,42.7
08/26/2016,41.1
08/19/2016,41.4
08/12/2016,41.1
08/5/2016,39.5
07/29/2016,42
07/22/2016,40.8
07/15/2016,40.6
07/8/2016,40.7
07/1/2016,38.1
06/24/2016,39.4
06/17/2016,40.3
06/10/2016,39.8
06/3/2016,38.3
05/27/2016,36.8
05/20/2016,36.9
05/13/2016,37.1
05/6/2016,38
04/29/2016,38.8
04/22/2016,39.9
04/15/2016,41.1
04/8/2016,44.5
04/1/2016,44.3
03/25/2016,43.6
03/18/2016,45.3
03/11/2016,44.1
03/4/2016,45.6
02/26/2016,47.7
02/19/2016,46.3
02/12/2016,45.8
02/5/2016,44.8
01/29/2016,45.5
01/22/2016,47.4
01/15/2016,49.9
01/8/2016,49.1
01/1/2016,45
12/25/2015,42.5
12/18/2015,41.9
12/11/2015,43
12/4/2015,40.5
11/27/2015,37.7
11/20/2015,36.1
11/13/2015,34.6
11/6/2015,35.5
10/30/2015,35.9
10/23/2015,35.8
10/16/2015,37.7
10/9/2015,37.2
10/2/2015,37.9
09/25/2015,40.1
09/18/2015,40.2
09/11/2015,42.7
09/4/2015,40.7
08/28/2015,40.5
08/21/2015,40.4
08/14/2015,40
08/7/2015,39.5
07/31/2015,38.9
07/24/2015,38.7
07/17/2015,37.3
07/10/2015,38.3
07/3/2015,35.7
06/26/2015,34.5
06/19/2015,35.3
06/12/2015,34
06/5/2015,33.9
05/29/2015,32.8
05/22/2015,31.2
05/15/2015,30.9
05/8/2015,31.6
05/1/2015,33.7
04/24/2015,32.6
04/17/2015,33
04/10/2015,32.6
04/3/2015,32.2
03/27/2015,33.2
03/20/2015,32.4
03/13/2015,31.7
03/6/2015,30.7
02/27/2015,29.1
02/20/2015,30.2
02/13/2015,30.3
02/6/2015,30.7
01/30/2015,32.2
01/23/2015,33.4
01/16/2015,35.1
01/9/2015,36.4
01/2/2015,35
12/26/2014,31
12/19/2014,31.8
12/12/2014,31.6
12/5/2014,32.6
11/28/2014,30.1
11/21/2014,29.5
11/14/2014,30.3
11/7/2014,31.8
10/31/2014,33.2
10/24/2014,33.3
10/17/2014,34.3
10/10/2014,33.1
10/3/2014,33.2
09/26/2014,33.3
09/19/2014,34.4
09/12/2014,34.5
09/5/2014,34
08/29/2014,31.6
08/22/2014,31.3
08/15/2014,30.6
08/8/2014,31
08/1/2014,32.2
07/25/2014,32.8
07/18/2014,32.7
07/11/2014,32.9
07/4/2014,32
06/27/2014,32.2
06/20/2014,31.1
06/13/2014,29.8
06/6/2014,29.7
05/30/2014,28.8
05/23/2014,28
05/16/2014,28.5
05/9/2014,27.6
05/2/2014,28.1
04/25/2014,28.9
04/18/2014,28.6
04/11/2014,29.1
04/4/2014,29.5
03/28/2014,29.9
03/21/2014,30.2
03/14/2014,29.5
03/7/2014,31.5
02/28/2014,31.7
02/21/2014,30.4
02/14/2014,28.6
02/7/2014,28.4
01/31/2014,28.5
01/24/2014,30.9
01/17/2014,34.9
01/10/2014,34.8
01/3/2014,34.2
12/27/2013,32
12/20/2013,30.2
12/13/2013,31
12/6/2013,31
11/29/2013,28.9
11/22/2013,26.6
11/15/2013,26.8
11/8/2013,29.7
11/1/2013,30
10/25/2013,32.6
10/18/2013,34.2
10/11/2013,33.2
10/4/2013,33
09/27/2013,34.5
09/20/2013,35
09/13/2013,34.5
09/6/2013,35.8
08/30/2013,34.9
08/23/2013,34.5
08/16/2013,34.3
08/9/2013,32.6
08/2/2013,31.7
07/26/2013,31.6
07/19/2013,30.8
07/12/2013,31.9
07/5/2013,30.6
06/28/2013,29.4
06/21/2013,31.3
06/14/2013,31.1
06/7/2013,30.8
