Station,StationName,Date,TMax,TMin
GHCND:USC00190120,AMHERST MA US,19870701,87,63
GHCND:USC00190120,AMHERST MA US,19870702,78,62
GHCND:USC00190120,AMHERST MA US,19870703,73,57
GHCND:USC00190120,AMHERST MA US,19870704,86,56
GHCND:USC00190120,AMHERST MA US,19870705,88,55
GHCND:USC00190120,AMHERST MA US,19870706,86,58
GHCND:USC00190120,AMHERST MA US,19870707,81,57
GHCND:USC00190120,AMHERST MA US,19870708,75,63
GHCND:USC00190120,AMHERST MA US,19870709,86,68
GHCND:USC00190120,AMHERST MA US,19870710,91,67
GHCND:USC00190120,AMHERST MA US,19870711,92,66
GHCND:USC00190120,AMHERST MA US,19870712,93,74
GHCND:USC00190120,AMHERST MA US,19870713,88,69
GHCND:USC00190120,AMHERST MA US,19870714,87,72
GHCND:USC00190120,AMHERST MA US,19870715,83,58
GHCND:USC00190120,AMHERST MA US,19870716,75,47
GHCND:USC00190120,AMHERST MA US,19870717,81,47
GHCND:USC00190120,AMHERST MA US,19870718,92,51
GHCND:USC00190120,AMHERST MA US,19870719,91,50
GHCND:USC00190120,AMHERST MA US,19870720,84,60
GHCND:USC00190120,AMHERST MA US,19870721,89,63
GHCND:USC00190120,AMHERST MA US,19870722,93,65
GHCND:USC00190120,AMHERST MA US,19870723,92,62
GHCND:USC00190120,AMHERST MA US,19870724,94,69
GHCND:USC00190120,AMHERST MA US,19870725,95,65
GHCND:USC00190120,AMHERST MA US,19870726,92,66
GHCND:USC00190120,AMHERST MA US,19870727,86,51
GHCND:USC00190120,AMHERST MA US,19870728,83,52
GHCND:USC00190120,AMHERST MA US,19870729,81,51
GHCND:USC00190120,AMHERST MA US,19870730,82,55
GHCND:USC00190120,AMHERST MA US,19870731,82,58
GHCND:USC00190120,AMHERST MA US,19870801,82,48
GHCND:USC00190120,AMHERST MA US,19870802,82,45
GHCND:USC00190120,AMHERST MA US,19870803,80,65
GHCND:USC00190120,AMHERST MA US,19870804,89,61
GHCND:USC00190120,AMHERST MA US,19870805,90,63
GHCND:USC00190120,AMHERST MA US,19870806,84,60
GHCND:USC00190120,AMHERST MA US,19870807,81,60
GHCND:USC00190120,AMHERST MA US,19870808,87,60
GHCND:USC00190120,AMHERST MA US,19870809,84,62
GHCND:USC00190120,AMHERST MA US,19870810,75,56
GHCND:USC00190120,AMHERST MA US,19870811,80,47
GHCND:USC00190120,AMHERST MA US,19870812,82,48
GHCND:USC00190120,AMHERST MA US,19870813,80,45
GHCND:USC00190120,AMHERST MA US,19870814,84,52
GHCND:USC00190120,AMHERST MA US,19870815,86,55
GHCND:USC00190120,AMHERST MA US,19870816,90,57
GHCND:USC00190120,AMHERST MA US,19870817,93,69
GHCND:USC00190120,AMHERST MA US,19870818,93,68
GHCND:USC00190120,AMHERST MA US,19870819,88,53
GHCND:USC00190120,AMHERST MA US,19870820,87,55
GHCND:USC00190120,AMHERST MA US,19870821,82,47
GHCND:USC00190120,AMHERST MA US,19870822,83,49
GHCND:USC00190120,AMHERST MA US,19870823,83,57
GHCND:USC00190120,AMHERST MA US,19870824,74,38
GHCND:USC00190120,AMHERST MA US,19870825,76,38
GHCND:USC00190120,AMHERST MA US,19870826,78,43
GHCND:USC00190120,AMHERST MA US,19870827,78,52
GHCND:USC00190120,AMHERST MA US,19870828,63,55
GHCND:USC00190120,AMHERST MA US,19870829,63,53
GHCND:USC00190120,AMHERST MA US,19870830,77,48
GHCND:USC00190120,AMHERST MA US,19870831,78,51
GHCND:USC00190120,AMHERST MA US,19870901,77,59
GHCND:USC00190120,AMHERST MA US,19870902,72,43
GHCND:USC00190120,AMHERST MA US,19870903,72,43
GHCND:USC00190120,AMHERST MA US,19870904,74,39
GHCND:USC00190120,AMHERST MA US,19870905,74,42
GHCND:USC00190120,AMHERST MA US,19870906,76,48
GHCND:USC00190120,AMHERST MA US,19870907,77,63
GHCND:USC00190120,AMHERST MA US,19870908,78,63
GHCND:USC00190120,AMHERST MA US,19870909,83,65
GHCND:USC00190120,AMHERST MA US,19870910,84,55
GHCND:USC00190120,AMHERST MA US,19870911,84,60
GHCND:USC00190120,AMHERST MA US,19870912,71,60
GHCND:USC00190120,AMHERST MA US,19870913,70,57
GHCND:USC00190120,AMHERST MA US,19870914,76,57
GHCND:USC00190120,AMHERST MA US,19870915,77,43
GHCND:USC00190120,AMHERST MA US,19870916,76,45
GHCND:USC00190120,AMHERST MA US,19870917,78,57
GHCND:USC00190120,AMHERST MA US,19870918,73,55
GHCND:USC00190120,AMHERST MA US,19870919,58,50
GHCND:USC00190120,AMHERST MA US,19870920,58,51
GHCND:USC00190120,AMHERST MA US,19870921,65,51
GHCND:USC00190120,AMHERST MA US,19870922,71,54
GHCND:USC00190120,AMHERST MA US,19870923,70,50
GHCND:USC00190120,AMHERST MA US,19870924,71,50
GHCND:USC00190120,AMHERST MA US,19870925,72,36
GHCND:USC00190120,AMHERST MA US,19870926,67,34
GHCND:USC00190120,AMHERST MA US,19870927,65,37
GHCND:USC00190120,AMHERST MA US,19870928,78,42
GHCND:USC00190120,AMHERST MA US,19870929,81,51
GHCND:USC00190120,AMHERST MA US,19870930,81,60
GHCND:USC00190120,AMHERST MA US,19871001,65,48
GHCND:USC00190120,AMHERST MA US,19871002,67,33
GHCND:USC00190120,AMHERST MA US,19871003,67,46
GHCND:USC00190120,AMHERST MA US,19871004,44,35
GHCND:USC00190120,AMHERST MA US,19871005,68,29
GHCND:USC00190120,AMHERST MA US,19871006,69,35
GHCND:USC00190120,AMHERST MA US,19871007,70,53
GHCND:USC00190120,AMHERST MA US,19871008,68,36
GHCND:USC00190120,AMHERST MA US,19871009,58,30
GHCND:USC00190120,AMHERST MA US,19871010,68,39
GHCND:USC00190120,AMHERST MA US,19871011,68,37
GHCND:USC00190120,AMHERST MA US,19871012,49,36
GHCND:USC00190120,AMHERST MA US,19871013,55,28
GHCND:USC00190120,AMHERST MA US,19871014,58,26
GHCND:USC00190120,AMHERST MA US,19871015,67,24
GHCND:USC00190120,AMHERST MA US,19871016,69,34
GHCND:USC00190120,AMHERST MA US,19871017,70,35
GHCND:USC00190120,AMHERST MA US,19871018,67,51
GHCND:USC00190120,AMHERST MA US,19871019,67,32
GHCND:USC00190120,AMHERST MA US,19871020,66,36
GHCND:USC00190120,AMHERST MA US,19871021,62,48
GHCND:USC00190120,AMHERST MA US,19871022,53,30
GHCND:USC00190120,AMHERST MA US,19871023,57,29
GHCND:USC00190120,AMHERST MA US,19871024,64,30
GHCND:USC00190120,AMHERST MA US,19871025,65,30
GHCND:USC00190120,AMHERST MA US,19871026,58,24
GHCND:USC00190120,AMHERST MA US,19871027,58,22
GHCND:USC00190120,AMHERST MA US,19871028,59,49
GHCND:USC00190120,AMHERST MA US,19871029,54,26
GHCND:USC00190120,AMHERST MA US,19871030,54,28
GHCND:USC00190120,AMHERST MA US,19871031,58,40
GHCND:USC00190120,AMHERST MA US,19871101,58,27
GHCND:USC00190120,AMHERST MA US,19871102,61,25
GHCND:USC00190120,AMHERST MA US,19871103,61,35
GHCND:USC00190120,AMHERST MA US,19871104,77,43
GHCND:USC00190120,AMHERST MA US,19871105,76,51
GHCND:USC00190120,AMHERST MA US,19871106,55,34
GHCND:USC00190120,AMHERST MA US,19871107,44,26
GHCND:USC00190120,AMHERST MA US,19871108,63,25
GHCND:USC00190120,AMHERST MA US,19871109,64,25
GHCND:USC00190120,AMHERST MA US,19871110,57,32
GHCND:USC00190120,AMHERST MA US,19871111,36,25
GHCND:USC00190120,AMHERST MA US,19871112,40,27
GHCND:USC00190120,AMHERST MA US,19871113,50,18
GHCND:USC00190120,AMHERST MA US,19871114,52,25
GHCND:USC00190120,AMHERST MA US,19871115,54,21
GHCND:USC00190120,AMHERST MA US,19871116,53,22
GHCND:USC00190120,AMHERST MA US,19871117,54,39
GHCND:USC00190120,AMHERST MA US,19871118,69,44
GHCND:USC00190120,AMHERST MA US,19871119,66,34
GHCND:USC00190120,AMHERST MA US,19871120,51,34
GHCND:USC00190120,AMHERST MA US,19871121,41,9
GHCND:USC00190120,AMHERST MA US,19871122,33,13
GHCND:USC00190120,AMHERST MA US,19871123,45,14
GHCND:USC00190120,AMHERST MA US,19871124,58,32
GHCND:USC00190120,AMHERST MA US,19871125,44,35
GHCND:USC00190120,AMHERST MA US,19871126,56,38
GHCND:USC00190120,AMHERST MA US,19871127,41,28
GHCND:USC00190120,AMHERST MA US,19871128,39,21
GHCND:USC00190120,AMHERST MA US,19871129,38,24
GHCND:USC00190120,AMHERST MA US,19871130,46,35
GHCND:USC00190120,AMHERST MA US,19871201,46,35
GHCND:USC00190120,AMHERST MA US,19871202,45,36
GHCND:USC00190120,AMHERST MA US,19871203,43,26
GHCND:USC00190120,AMHERST MA US,19871204,43,30
GHCND:USC00190120,AMHERST MA US,19871205,36,25
GHCND:USC00190120,AMHERST MA US,19871206,38,33
GHCND:USC00190120,AMHERST MA US,19871207,44,20
