WeekOf,PPG
3/27/17,2.659
3/20/17,2.653
3/13/17,2.676
3/6/17,2.669
2/27/17,2.681
2/20/17,2.676
2/13/17,2.663
2/6/17,2.675
1/30/17,2.678
1/23/17,2.672
1/16/17,2.677
1/9/17,2.678
1/2/17,2.673
12/26/16,2.646
12/19/16,2.608
12/12/16,2.571
12/5/16,2.533
11/28/16,2.448
11/21/16,2.418
11/14/16,2.426
11/7/16,2.421
10/31/16,2.413
10/24/16,2.423
10/17/16,2.407
10/10/16,2.394
10/3/16,2.337
4/4/16,
3/28/16,2.155
3/21/16,2.157
3/14/16,2.14
3/7/16,2.126
2/29/16,2.115
2/22/16,2.133
2/15/16,2.116
2/8/16,2.081
2/1/16,2.083
1/25/16,2.079
1/18/16,2.099
1/11/16,2.16
1/4/16,2.184
12/28/15,2.184
12/21/15,2.205
12/14/15,2.248
12/7/15,2.345
11/30/15,2.38
11/23/15,2.369
11/16/15,2.411
11/9/15,2.435
11/2/15,2.439
10/26/15,2.425
10/19/15,2.426
10/12/15,2.433
10/5/15,2.416
4/6/15,
3/30/15,2.903
3/23/15,2.965
3/16/15,3.078
3/9/15,3.298
3/2/15,3.397
2/23/15,3.299
2/16/15,3.121
2/9/15,2.952
2/2/15,2.823
1/26/15,2.83
1/19/15,2.84
1/12/15,2.923
1/5/15,2.973
12/29/14,3.075
12/22/14,3.11
12/15/14,3.177
12/8/14,3.224
12/1/14,3.337
11/24/14,3.362
11/17/14,3.383
11/10/14,3.396
11/3/14,3.426
10/27/14,3.457
10/20/14,3.483
10/13/14,3.537
3/24/14,
3/17/14,4.127
3/10/14,4.179
3/3/14,4.214
2/24/14,4.225
2/17/14,4.204
2/10/14,4.21
2/3/14,4.219
1/27/14,4.202
1/20/14,4.077
1/13/14,4.043
1/6/14,4.046
12/30/13,4.061
12/23/13,4.001
12/16/13,3.971
12/9/13,3.963
12/2/13,3.897
11/25/13,3.896
11/18/13,3.822
11/11/13,3.813
11/4/13,3.813
10/28/13,3.802
10/21/13,3.829
10/14/13,3.807
10/7/13,3.791
3/25/13,
3/18/13,4.038
3/11/13,4.075
3/4/13,4.102
2/25/13,4.159
2/18/13,4.193
2/11/13,4.174
2/4/13,4.094
1/28/13,4.058
1/21/13,4.022
1/14/13,4.02
1/7/13,4.013
12/31/12,3.991
12/24/12,3.958
12/17/12,3.937
12/10/12,3.951
12/3/12,3.974
11/26/12,3.97
11/19/12,3.953
11/12/12,3.959
11/5/12,3.984
10/29/12,4.007
10/22/12,4.034
10/15/12,4.04
10/8/12,3.988
10/1/12,3.956
3/26/12,
3/19/12,4.202
3/12/12,4.207
3/5/12,4.215
2/27/12,4.249
2/20/12,4.142
2/13/12,4.124
2/6/12,4.075
1/30/12,4.039
1/23/12,4.015
1/16/12,4.031
1/9/12,3.998
1/2/12,3.892
