WeekOf,DaysOfSupply
7/21/17,35.4
7/14/17,36.6
7/7/17,37.5
6/30/17,36.3
6/23/17,38.7
6/16/17,38.8
6/9/17,38
6/2/17,37.5
5/26/17,35.1
5/19/17,34.5
5/12/17,36.1
5/5/17,36.6
4/28/17,35.9
4/21/17,36.4
4/14/17,34.6
4/7/17,35.4
3/31/17,36.4
3/24/17,36.5
3/17/17,38.1
3/10/17,37.9
3/3/17,40.3
2/24/17,41.4
2/17/17,41.6
2/10/17,44.7
2/3/17,44.2
1/27/17,46.3
1/20/17,49.3
1/13/17,48.1
1/6/17,46.9
12/30/16,42.2
12/23/16,37.3
12/16/16,38.1
12/9/16,39.7
12/2/16,40.2
11/25/16,38.7
11/18/16,37.4
11/11/16,37.2
11/4/16,37
10/28/16,37
10/21/16,37.4
10/14/16,39.2
10/7/16,40.9
9/30/16,44.8
9/23/16,46
9/16/16,46.4
9/9/16,44.6
9/2/16,42.7
8/26/16,41.1
8/19/16,41.4
8/12/16,41.1
8/5/16,39.5
7/29/16,42
7/22/16,40.8
7/15/16,40.6
7/8/16,40.7
7/1/16,38.1
6/24/16,39.4
6/17/16,40.3
6/10/16,39.8
6/3/16,38.3
5/27/16,36.8
5/20/16,36.9
5/13/16,37.1
5/6/16,38
4/29/16,38.8
4/22/16,39.9
4/15/16,41.1
4/8/16,44.5
4/1/16,44.3
3/25/16,43.6
3/18/16,45.3
3/11/16,44.1
3/4/16,45.6
2/26/16,47.7
2/19/16,46.3
2/12/16,45.8
2/5/16,44.8
1/29/16,45.5
1/22/16,47.4
1/15/16,49.9
1/8/16,49.1
1/1/16,45
12/25/15,42.5
12/18/15,41.9
12/11/15,43
12/4/15,40.5
11/27/15,37.7
11/20/15,36.1
11/13/15,34.6
11/6/15,35.5
10/30/15,35.9
10/23/15,35.8
10/16/15,37.7
10/9/15,37.2
10/2/15,37.9
9/25/15,40.1
9/18/15,40.2
9/11/15,42.7
9/4/15,40.7
8/28/15,40.5
8/21/15,40.4
8/14/15,40
8/7/15,39.5
7/31/15,38.9
7/24/15,38.7
7/17/15,37.3
7/10/15,38.3
7/3/15,35.7
6/26/15,34.5
6/19/15,35.3
6/12/15,34
6/5/15,33.9
5/29/15,32.8
5/22/15,31.2
5/15/15,30.9
5/8/15,31.6
5/1/15,33.7
4/24/15,32.6
4/17/15,33
4/10/15,32.6
4/3/15,32.2
3/27/15,33.2
3/20/15,32.4
3/13/15,31.7
3/6/15,30.7
2/27/15,29.1
2/20/15,30.2
2/13/15,30.3
2/6/15,30.7
1/30/15,32.2
1/23/15,33.4
1/16/15,35.1
1/9/15,36.4
1/2/15,35
12/26/14,31
12/19/14,31.8
12/12/14,31.6
12/5/14,32.6
11/28/14,30.1
11/21/14,29.5
11/14/14,30.3
11/7/14,31.8
10/31/14,33.2
10/24/14,33.3
10/17/14,34.3
10/10/14,33.1
10/3/14,33.2
9/26/14,33.3
9/19/14,34.4
9/12/14,34.5
9/5/14,34
8/29/14,31.6
8/22/14,31.3
8/15/14,30.6
8/8/14,31
8/1/14,32.2
7/25/14,32.8
7/18/14,32.7
